#Table: J/A+A/291/943/table1.dat (http://cdsarc.cds.unistra.fr)
#-----------------------------------------------------------------
# n(H)|  Lambda0|   Kappa0|  Lambda1|   Kappa1|  Lambda2|   Kappa2
#-----|---------|---------|---------|---------|---------|---------
1.E+8|1.848E+00|5.805E+03|1.848E+00|5.362E+03|1.848E+00|5.344E+03
1.E+8|2.154E+00|5.176E+03|2.154E+00|4.612E+03|2.154E+00|4.553E+03
1.E+8|2.512E+00|4.385E+03|2.512E+00|3.866E+03|2.512E+00|3.726E+03
1.E+8|2.712E+00|3.983E+03|2.712E+00|3.476E+03|2.712E+00|3.321E+03
1.E+8|2.818E+00|3.778E+03|2.818E+00|7.047E+03|2.818E+00|3.543E+03
1.E+8|2.929E+00|3.575E+03|2.929E+00|2.657E+04|2.929E+00|6.298E+03
1.E+8|3.043E+00|3.375E+03|3.043E+00|3.025E+04|3.043E+00|6.185E+03
1.E+8|3.162E+00|3.181E+03|3.162E+00|1.937E+04|3.162E+00|4.561E+03
1.E+8|3.286E+00|2.987E+03|3.286E+00|6.664E+03|3.286E+00|3.141E+03
1.E+8|3.414E+00|2.792E+03|3.414E+00|3.892E+03|3.414E+00|2.721E+03
1.E+8|3.548E+00|2.597E+03|3.548E+00|3.204E+03|3.548E+00|2.507E+03
1.E+8|3.687E+00|2.451E+03|3.687E+00|2.286E+03|3.687E+00|2.313E+03
